Year,Month,Date,CPI,Food,Rent,Clothing & Footwear,Tobacco & Liqour,Fuel & Power,"Household, Goods, Services and Suplies",Transport & Foreign Travel,"Education, Recreation, Entertain & Reading",Health & Personal Care
2009,Feb,2/1/09,4.40,8.40,2.60,7.10,11.10,8.80,0.90,2.10,6.90,7.00
2009,Mar,3/1/09,2.70,7.60,2.70,7.10,8.20,1.80,1.00,-6.40,6.20,7.20
2009,Apr,4/1/09,1.90,6.50,2.30,1.40,5.40,1.70,0.50,-7.30,6.40,4.80
2009,May,5/1/09,1.50,7.00,2.10,1.40,4.40,-0.30,0.80,-10.80,5.60,6.80
2009,Jun,6/1/09,1.20,5.30,1.90,1.40,4.30,-0.60,0.20,-10.00,6.30,6.60
2009,Jul,7/1/09,1.30,5.00,1.60,2.60,4.80,-12.00,0.50,-6.10,6.40,6.40
2009,Aug,8/1/09,1.50,5.20,1.30,2.60,5.20,-12.00,0.00,-3.30,6.50,6.60
2009,Sep,9/1/09,0.20,4.80,1.50,2.60,4.70,-22.80,0.10,-7.30,3.80,6.40
2009,Oct,10/1/09,0.80,2.80,1.40,1.10,4.10,-22.80,0.00,-1.00,3.20,7.20
2009,Nov,11/1/09,0.70,2.80,1.40,1.10,3.60,-22.60,0.00,-1.80,2.80,7.20
2009,Dec,12/1/09,1.00,1.90,1.10,1.10,4.20,-19.80,3.20,-1.20,2.50,7.20
2010,Jan,1/1/10,1.30,3.00,1.00,-0.50,3.40,-17.90,3.00,-0.70,2.40,7.20
2010,Feb,2/1/10,1.30,2.00,0.90,-0.50,2.70,-8.40,2.70,-2.20,2.80,7.20
2010,Mar,3/1/10,2.30,3.30,0.80,-0.50,2.60,-3.30,2.70,2.50,2.70,7.00
2010,Apr,4/1/10,3.00,3.60,0.90,4.00,2.20,-3.20,2.20,4.10,2.40,10.30
2010,May,5/1/10,2.70,2.30,0.90,3.80,2.10,-3.20,2.00,5.80,3.10,8.20
2010,Jun,6/1/10,2.60,2.50,1.20,3.80,2.00,-3.20,1.50,4.10,2.50,8.70
2010,Jul,7/1/10,2.30,2.70,1.50,3.20,1.70,0.40,0.40,0.90,2.30,8.70
2010,Aug,8/1/10,2.10,3.50,1.70,3.20,1.00,4.40,1.40,-4.00,2.30,8.70
2010,Sep,9/1/10,3.40,3.10,1.60,3.20,0.90,4.40,1.20,7.30,2.00,8.70
2010,Oct,10/1/10,3.00,3.60,2.00,3.50,1.50,8.50,1.10,3.20,2.70,7.60
2010,Nov,11/1/10,2.40,3.40,1.70,2.90,1.40,8.40,1.10,-1.70,2.60,7.60
2010,Dec,12/1/10,2.70,2.40,1.50,2.90,0.80,8.40,0.60,2.00,2.70,7.60
2011,Jan,1/1/11,2.20,1.20,1.50,5.60,1.50,8.20,1.30,-1.30,2.80,7.60
2011,Feb,2/1/11,3.30,2.70,1.50,5.60,2.60,8.00,1.40,5.10,2.70,7.60
2011,Mar,3/1/11,2.50,1.60,1.80,5.60,3.00,8.00,1.20,0.20,2.70,7.60
2011,Apr,4/1/11,2.30,0.80,1.50,4.10,3.00,8.00,1.10,0.90,2.80,8.20
2011,May,5/1/11,2.40,2.20,1.60,4.40,3.10,8.00,1.10,-0.90,2.60,8.00
2011,Jun,6/1/11,2.80,2.60,1.50,4.40,3.10,11.10,2.90,-0.10,2.00,7.60
2011,Jul,7/1/11,2.90,2.30,1.40,3.70,3.40,12.90,3.00,-0.10,2.40,7.60
2011,Aug,8/1/11,2.40,2.40,1.10,3.70,3.50,12.90,2.20,-1.90,2.40,7.50
2011,Sep,9/1/11,2.60,2.90,0.60,3.70,3.50,17.00,2.30,-1.10,3.10,7.40
2011,Oct,10/1/11,2.90,2.70,0.20,8.60,3.50,13.30,2.50,1.30,2.30,7.10
2011,Nov,11/1/11,3.10,2.80,0.40,9.20,3.40,13.40,2.60,3.00,2.50,7.10
2011,Dec,12/1/11,2.90,3.00,0.40,9.20,2.90,13.40,2.50,1.80,2.50,6.90
2012,Jan,1/1/12,3.00,3.90,0.30,9.30,2.40,13.40,1.90,1.60,2.40,6.90
2012,Feb,2/1/12,2.40,3.00,0.20,9.30,2.00,13.40,2.00,-0.80,2.40,6.90
2012,Mar,3/1/12,2.80,3.90,0.10,9.30,2.00,13.40,2.20,0.80,2.20,6.80
2012,Apr,4/1/12,2.50,4.50,0.20,6.00,2.70,13.40,2.30,-1.60,2.30,6.00
2012,May,5/1/12,2.90,4.40,-0.10,6.00,2.60,13.40,2.30,3.20,2.50,6.00
2012,Jun,6/1/12,2.70,4.20,0.00,6.00,2.80,16.20,0.30,1.80,3.30,6.00
2012,Jul,7/1/12,2.50,4.60,-0.10,4.40,2.70,17.00,0.30,0.10,2.80,5.80
2012,Aug,8/1/12,3.00,3.00,0.20,4.40,2.40,10.60,0.20,8.80,2.60,5.80
2012,Sep,9/1/12,1.80,3.00,0.30,4.40,2.60,6.80,0.20,-0.30,2.70,6.10
2012,Oct,10/1/12,1.70,3.00,0.30,-2.20,2.60,4.00,0.30,-0.60,3.10,7.50
2012,Nov,11/1/12,1.90,2.30,0.40,-2.20,2.50,-4.10,0.20,4.50,3.10,7.50
2012,Dec,12/1/12,1.80,2.90,0.40,-2.20,2.60,-1.30,0.30,2.00,3.00,7.70
2013,Jan,1/1/13,1.90,3.50,0.30,-1.00,3.10,-2.80,0.30,2.40,3.10,7.70
2013,Feb,2/1/13,2.10,3.60,0.40,-1.00,2.60,-1.40,0.20,2.80,3.20,7.70
2013,Mar,3/1/13,2.10,3.20,-0.10,-1.00,2.40,1.30,0.10,3.90,3.30,7.70
2013,Apr,4/1/13,1.80,3.50,-0.50,-1.80,3.50,1.30,0.10,0.60,3.00,8.40
2013,May,5/1/13,1.70,2.70,-0.40,-1.90,5.70,-1.40,0.10,0.70,2.90,9.10
2013,Jun,6/1/13,1.90,2.60,-0.60,-1.90,5.50,-4.80,0.80,4.10,2.40,9.00
2013,Jul,7/1/13,1.80,2.60,-0.30,0.10,5.30,-7.00,0.70,2.80,2.40,9.30
2013,Aug,8/1/13,1.40,2.90,-0.50,0.10,5.30,-4.50,1.00,-1.80,2.50,9.10
2013,Sep,9/1/13,1.90,3.00,-0.30,0.10,4.80,-3.60,0.60,1.40,2.10,8.90
2013,Oct,10/1/13,1.60,2.50,-0.30,3.20,4.60,-2.60,0.50,0.80,1.60,7.60
2013,Nov,11/1/13,1.40,2.60,-0.40,3.40,5.00,2.80,0.50,-2.50,1.50,7.60
2013,Dec,12/1/13,1.90,2.80,-0.30,3.40,4.90,-0.10,0.50,2.00,1.50,7.70
2014,Jan,1/1/14,1.80,2.00,0.30,3.00,5.00,-1.60,0.40,1.50,1.40,7.70
2014,Feb,2/1/14,1.70,2.30,0.20,3.00,5.00,-4.90,0.40,1.40,1.50,7.60
2014,Mar,3/1/14,2.00,3.20,0.60,3.00,5.00,-5.60,0.50,2.00,1.50,7.60
2014,Apr,4/1/14,1.90,2.60,1.00,1.90,3.70,-4.50,0.50,1.40,1.70,6.60
2014,May,5/1/14,2.10,2.80,1.00,1.90,1.70,-1.10,0.50,2.80,1.90,5.90
2014,Jun,6/1/14,1.90,2.90,1.10,1.90,1.50,-2.20,1.00,0.10,2.10,5.90
2014,Jul,7/1/14,2.00,3.40,0.90,2.00,1.40,-0.40,1.20,0.40,2.20,5.80
2014,Aug,8/1/14,2.20,3.20,0.80,2.00,1.20,0.00,0.80,2.30,2.20,5.80
2014,Sep,9/1/14,2.40,3.30,0.80,2.00,1.40,0.00,0.90,4.50,2.10,5.80
2014,Oct,10/1/14,2.60,3.60,0.80,1.40,1.50,-1.80,0.90,4.80,2.10,7.30
2014,Nov,11/1/14,2.30,3.90,0.80,1.20,1.10,0.90,1.00,0.50,2.10,7.30
2014,Dec,12/1/14,1.60,3.90,0.70,1.20,1.10,-8.20,1.00,-2.00,2.00,7.20
2015,Jan,1/1/15,1.40,3.80,0.30,0.50,0.80,-7.80,1.40,-1.90,2.00,7.20
2015,Feb,2/1/15,1.60,3.60,0.30,0.50,1.10,-5.80,1.40,-1.30,1.30,7.30
2015,Mar,3/1/15,1.20,2.70,0.40,0.50,1.20,-6.50,1.30,-2.50,1.20,7.30
2015,Apr,4/1/15,1.70,2.90,0.50,1.40,1.20,-7.60,1.40,0.30,1.10,8.50
2015,May,5/1/15,1.20,3.50,0.60,1.40,1.10,-10.60,1.40,-3.20,1.00,8.50
2015,Jun,6/1/15,2.10,3.40,0.50,1.40,1.00,-11.20,0.90,3.70,1.20,8.50
2015,Jul,7/1/15,1.90,2.80,0.50,1.80,0.90,-9.30,2.80,1.40,1.00,8.30
2015,Aug,8/1/15,1.40,2.30,0.60,1.80,1.10,-10.50,2.80,-1.60,0.80,8.50
2015,Sep,9/1/15,1.00,2.00,0.60,1.80,1.30,-11.30,3.10,-4.80,0.10,8.30
2015,Oct,10/1/15,0.60,2.10,0.70,1.30,1.20,-10.10,3.00,-6.90,0.40,7.00
2015,Nov,11/1/15,1.40,1.60,0.70,1.30,1.20,-11.20,2.90,0.50,0.40,7.00
2015,Dec,12/1/15,1.80,2.10,0.80,1.30,1.50,-4.40,2.90,0.90,0.60,7.00
2016,Jan,1/1/16,1.70,2.00,0.60,1.30,1.70,-5.70,2.60,0.90,0.60,7.00
2016,Feb,2/1/16,1.30,2.40,0.70,1.30,2.60,-5.70,2.60,-2.30,0.90,7.10
2016,Mar,3/1/16,1.00,2.00,0.60,1.30,2.50,-7.60,2.70,-3.70,1.20,7.10
2016,Apr,4/1/16,1.10,2.30,0.40,0.30,4.10,-10.00,2.60,-3.30,3.80,3.80
2016,May,5/1/16,1.10,1.60,0.40,0.30,5.60,-12.20,2.60,-2.60,4.30,3.80
2016,Jun,6/1/16,0.80,1.70,0.40,0.30,6.50,-3.10,2.60,-7.10,4.00,3.70
2016,Jul,7/1/16,1.60,1.90,1.40,-0.30,6.50,-2.80,0.60,-1.10,3.90,3.70
2016,Aug,8/1/16,1.30,1.70,1.40,-0.30,6.40,-2.80,0.60,-3.80,4.10,3.60
2016,Sep,9/1/16,2.00,1.90,1.40,-0.30,6.30,3.10,0.40,-0.40,4.30,3.70
2016,Oct,10/1/16,2.10,1.80,1.30,0.00,6.30,3.50,0.50,0.80,4.20,3.30
2016,Nov,11/1/16,1.70,2.20,1.30,0.10,6.30,2.40,0.50,-2.10,4.00,3.30
2016,Dec,12/1/16,1.60,1.10,1.30,0.10,5.60,1.30,0.50,-1.20,4.00,3.30
2017,Jan,1/1/17,1.90,1.90,1.40,1.20,5.90,2.80,0.40,-0.80,4.00,3.30
2017,Feb,2/1/17,1.90,1.30,0.50,1.20,4.70,2.80,0.40,1.40,4.20,3.20
2017,Mar,3/1/17,2.40,1.80,0.60,1.20,4.80,7.60,0.30,4.20,4.00,3.20
2017,Apr,4/1/17,1.70,0.40,0.60,1.70,5.70,11.00,0.40,5.30,1.40,0.20
2017,May,5/1/17,2.40,2.40,0.50,1.70,9.10,18.90,0.30,5.50,1.20,0.20
2017,Jun,6/1/17,1.80,2.70,0.60,1.70,8.20,11.20,0.50,3.20,1.00,0.30
2017,Jul,7/1/17,1.70,2.60,-0.40,1.80,8.90,9.70,0.60,3.00,1.20,0.30
2017,Aug,8/1/17,2.30,2.70,-0.40,1.80,8.90,9.70,0.60,7.60,1.40,0.80
2017,Sep,9/1/17,1.50,2.50,-0.40,1.80,9.00,3.70,0.60,3.20,1.20,0.90
2017,Oct,10/1/17,1.40,2.50,-0.30,1.60,9.20,4.60,0.50,1.80,0.90,1.30
2017,Nov,11/1/17,2.00,2.70,-0.30,1.50,9.30,4.80,0.50,6.10,1.70,1.30
2017,Dec,12/1/17,1.90,3.30,-0.40,1.50,9.80,8.20,0.60,3.20,1.60,1.30
2018,Jan,1/1/18,1.60,2.50,-0.30,0.30,9.30,9.10,0.50,2.40,1.70,1.30
2018,Feb,2/1/18,2.00,1.70,0.50,0.30,9.40,9.10,0.70,4.30,1.70,1.30
2018,Mar,3/1/18,1.80,1.60,0.40,0.30,9.10,5.00,0.80,3.00,2.20,1.30
2018,Apr,4/1/18,2.00,3.00,0.50,0.50,6.70,4.50,-0.40,2.60,2.40,4.00
2018,May,5/1/18,1.70,2.30,0.50,0.50,2.10,6.50,-0.30,1.50,2.70,4.00
2018,Jun,6/1/18,1.60,1.90,0.40,0.50,2.90,4.60,-0.50,0.80,2.80,4.10
2018,Jul,7/1/18,1.40,1.80,0.50,2.70,2.20,5.50,-0.80,-0.10,2.60,4.10
2018,Aug,8/1/18,0.90,1.30,0.00,2.70,2.40,4.00,-0.50,-2.30,2.30,3.60
2018,Sep,9/1/18,1.10,1.80,0.00,2.70,2.40,5.30,-0.40,-1.40,1.90,3.50
2018,Oct,10/1/18,1.10,2.10,0.00,2.50,2.10,5.30,-0.50,-1.00,2.10,3.00
2018,Nov,11/1/18,0.80,1.90,0.10,2.50,2.10,6.90,-0.50,-3.70,1.40,3.00
2018,Dec,12/1/18,0.90,3.00,0.10,2.50,2.30,5.00,-0.60,-2.60,1.40,3.00
2019,Jan,1/1/19,1.30,2.70,0.60,3.00,2.20,6.60,-0.40,-1.30,1.50,3.10
2019,Feb,2/1/19,1.10,3.30,1.10,3.00,2.50,6.60,-0.60,-4.80,1.60,3.00
2019,Mar,3/1/19,1.20,2.90,2.00,3.00,3.20,6.60,-0.70,-3.50,0.70,2.90
2019,Apr,4/1/19,1.00,2.50,1.80,2.80,3.60,6.60,0.50,-4.50,0.40,2.30
2019,May,5/1/19,0.30,1.80,-0.30,2.80,4.30,3.80,0.30,-4.90,0.00,2.40
2019,Jun,6/1/19,0.70,2.50,-0.60,2.80,4.60,3.20,0.30,-2.50,-0.10,3.70
2019,Jul,7/1/19,1.20,2.90,1.40,0.70,4.00,-0.60,0.40,-1.40,0.20,3.80
2019,Aug,8/1/19,1.50,3.10,2.00,0.70,4.00,0.80,0.10,-0.80,0.00,3.80
2019,Sep,9/1/19,0.80,2.80,1.70,0.70,4.90,-0.60,0.00,-4.90,-0.10,3.70
2019,Oct,10/1/19,0.70,2.30,0.70,1.20,4.60,-4.80,0.20,-3.20,0.00,4.10
2019,Nov,11/1/19,0.90,3.00,0.40,1.20,3.90,-6.90,0.10,-0.90,0.10,4.20
2019,Dec,12/1/19,0.50,2.60,0.50,1.20,3.70,-6.60,-0.30,-3.40,0.20,4.20
2020,Jan,1/1/20,1.00,2.40,0.70,0.80,3.10,-0.60,0.00,-0.60,0.10,4.20
2020,Feb,2/1/20,0.90,2.60,-0.30,0.80,3.60,-0.60,0.00,-0.40,0.10,4.20
2020,Mar,3/1/20,0.30,2.30,-1.50,0.80,3.80,-0.60,0.00,-3.00,0.50,4.20
2020,Apr,4/1/20,0.00,3.30,-1.70,1.20,3.60,-0.60,0.00,-5.00,0.60,3.30
2020,May,5/1/20,0.40,3.80,-0.70,1.20,2.30,-1.60,0.10,-3.40,0.50,3.20
2020,Jun,6/1/20,0.00,3.00,-0.90,1.20,1.40,-2.40,0.10,-4.50,0.70,1.80
2020,Jul,7/1/20,-1.40,2.60,-3.30,0.90,1.80,-5.70,0.30,-8.70,0.60,1.70
2020,Aug,8/1/20,-0.70,3.30,-3.20,0.90,1.90,-5.70,0.30,-6.90,2.50,2.50
2020,Sep,9/1/20,-0.70,3.40,-4.20,0.90,1.70,-5.70,0.30,-5.30,2.20,2.70
2020,Oct,10/1/20,-0.20,3.60,-2.20,0.70,1.40,-1.60,0.50,-5.80,2.20,2.30
2020,Nov,11/1/20,-0.10,2.90,-2.20,0.70,2.30,1.20,0.80,-5.30,2.00,2.20
2020,Dec,12/1/20,0.30,2.60,-1.80,0.70,1.50,2.70,1.90,-4.60,1.80,2.20
2021,Jan,1/1/21,-0.30,1.70,-2.00,1.10,2.00,-2.40,1.50,-5.20,1.60,2.10
2021,Feb,2/1/21,-0.30,2.00,-1.60,1.10,0.50,-14.60,1.50,-2.50,1.70,2.10
2021,Mar,3/1/21,0.30,2.60,-1.00,1.10,-0.10,-14.60,1.50,0.20,1.70,2.10
2021,Apr,4/1/21,0.90,1.70,-0.70,0.10,-0.80,-13.70,1.60,2.60,1.60,2.00
2021,May,5/1/21,1.10,0.90,-0.50,0.10,-0.50,-7.50,2.00,6.30,1.60,2.00
2021,Jun,6/1/21,1.50,1.20,-0.30,0.10,-1.90,-8.80,2.00,7.70,2.40,2.80
2021,Jul,7/1/21,2.40,1.20,0.40,1.20,-1.70,-3.60,1.80,11.40,2.60,2.70
2021,Aug,8/1/21,1.80,1.30,0.70,1.20,-1.70,-3.60,1.90,9.20,0.90,2.00
2021,Sep,9/1/21,2.40,1.40,1.60,1.20,-2.30,-3.60,1.80,10.80,2.10,1.90
2021,Oct,10/1/21,2.60,1.50,0.00,1.30,-1.70,1.40,2.00,13.90,2.10,1.70
2021,Nov,11/1/21,3.00,3.40,0.30,1.30,0.40,1.40,1.80,11.20,2.60,3.30
2021,Dec,12/1/21,2.90,3.80,-0.20,1.30,0.70,1.60,1.20,12.00,2.70,3.20
2022,Jan,1/1/22,2.60,4.70,-0.60,0.70,0.40,-1.00,1.40,9.40,3.00,3.30
2022,Feb,2/1/22,3.20,5.00,-0.60,0.70,1.30,13.10,1.50,9.40,3.20,3.30
2022,Mar,3/1/22,3.20,4.90,-0.70,0.70,1.00,13.10,1.50,7.90,5.10,3.20
2022,Apr,4/1/22,3.60,5.40,-0.50,1.50,-0.20,22.30,3.20,9.00,5.00,4.30
2022,May,5/1/22,4.20,6.40,0.30,1.50,-0.10,14.40,2.90,8.40,5.30,4.30
2022,Jun,6/1/22,4.60,8.00,0.70,1.50,1.10,16.00,3.00,9.00,4.60,4.50
2022,Jul,7/1/22,4.50,9.00,0.50,2.50,0.90,15.20,3.10,8.00,4.40,4.70
2022,Aug,8/1/22,4.70,9.50,-0.10,2.50,1.20,15.20,3.50,9.10,4.80,4.60
2022,Sep,9/1/22,5.10,10.60,0.60,2.50,0.90,15.20,3.70,9.90,4.40,4.60
2022,Oct,10/1/22,3.80,10.30,1.00,3.90,1.00,5.10,3.70,1.70,4.40,4.80
2022,Nov,11/1/22,3.80,10.40,1.00,3.90,-1.30,5.10,3.80,3.50,4.00,3.30
2022,Dec,12/1/22,4.10,10.30,1.10,3.90,-1.00,4.90,4.30,6.40,4.00,3.30
2023,Jan,1/1/23,4.50,10.10,1.00,4.40,0.30,2.40,4.30,10.10,3.90,3.30
2023,Feb,2/1/23,4.20,9.20,1.60,4.40,0.20,2.40,4.20,7.40,4.00,3.20
2023,Mar,3/1/23,4.50,9.40,1.60,4.40,3.90,2.40,4.30,9.00,3.20,3.30
2023,Apr,4/1/23,3.80,9.30,1.50,1.90,6.20,-5.70,2.40,8.20,3.30,3.10
2023,May,5/1/23,3.10,8.30,1.60,1.90,6.30,-6.00,2.40,3.90,3.20,3.20
2023,Jun,6/1/23,2.70,6.80,1.80,1.90,6.60,-6.00,2.30,1.40,3.40,2.40
2023,Jul,7/1/23,2.80,5.90,1.90,-0.30,6.40,-4.60,2.40,3.00,3.40,2.20
2023,Aug,8/1/23,2.40,5.60,2.10,-0.30,6.10,-4.60,1.90,1.70,3.10,2.20
2023,Sep,9/1/23,2.40,4.40,2.20,-0.30,6.60,-4.60,1.80,2.20,3.30,2.20
